source,relation,target,original_label
NCT01554462,TESTS,intervention:omega-3-epa-dha,Eicosapentaenoic acid / Docosahexaenoic acid
NCT01554462,TESTS,intervention:placebo-control,Placebo dietary intervention (MUFA) in ADHD group
NCT01554462,TESTS,intervention:placebo-control,Placebo dietary intervention (MUFA) in healthy control group
NCT01625299,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01625299,TESTS,intervention:gluten-and-dry-milk,Gluten and dry milk
NCT01625299,TESTS,intervention:placebo-control,Placebo
NCT01695200,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01695200,TESTS,intervention:omega-3-epa-dha,Omega-3 fatty acids
NCT01750307,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01750307,TESTS,intervention:experimental-fatty-acid-supplementation,Experimental fatty acid supplementation
NCT01750307,TESTS,intervention:placebo-control,Placebo comparator: MCT oil softgel
NCT01777048,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01777048,TESTS,intervention:omega-3-epa-dha,Omega-3 Fatty Acids Supplementation
NCT01777048,TESTS,intervention:placebo-control,Omega-3 Placebo
NCT01778647,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01778647,TESTS,intervention:placebo-control,Stimulants plus placebo
NCT01778647,TESTS,intervention:stimulants-plus-lovaza,Stimulants plus Lovaza
NCT01795040,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01795040,TESTS,intervention:omega-3-epa-dha,omega-3/omega-6 fatty acids (PUFAs)
NCT01796262,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01796262,TESTS,intervention:omega-3-epa-dha,docosahexaenoic acid
NCT01796262,TESTS,intervention:wheat-germ-oil,Wheat germ oil
NCT01798381,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01798381,TESTS,intervention:essential-fatty-acids,Essential fatty acids
NCT01807299,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01807299,TESTS,intervention:exercise-intervention,Physical Training
NCT01807299,TESTS,intervention:omega-3-epa-dha,Omega 3
NCT01847521,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT01847521,TESTS,intervention:luteolin-quercetin-and-rutin-combined-in-a-capsule,"Luteolin, Quercetin and Rutin combined in a capsule"
NCT01853280,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01853280,TESTS,intervention:l-methylfolate,L-methylfolate
NCT01853280,TESTS,intervention:methylphenidate,OROS-Methylphenidate
NCT01853280,TESTS,intervention:placebo-control,Placebo
NCT01855984,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01855984,TESTS,intervention:oral-mixed-tocotrienols,Oral mixed tocotrienols
NCT01855984,TESTS,intervention:placebo-control,Placebo
NCT01856686,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01856686,TESTS,intervention:bp22042013,BP22042013
NCT01856686,TESTS,intervention:dietary-intervention,Low carbohydrate diet
NCT01862484,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT01862484,TESTS,intervention:dietary-intervention,Restricted Diet
NCT01862484,TESTS,intervention:dietary-intervention,Ruse Diet
NCT02059577,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02059577,TESTS,intervention:dietary-intervention,Nutritional and Dietary Interventions
NCT02086110,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02086110,TESTS,intervention:microbiome-intervention,Synbiotic
NCT02086110,TESTS,intervention:prebiotic,Prebiotic
NCT02114632,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02114632,TESTS,intervention:eye-q,Eye Q
NCT02204410,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02204410,TESTS,intervention:adhd-medication,ADHD Medication
NCT02204410,TESTS,intervention:omega-3-epa-dha,Omega-3 Fatty Acid
NCT02248948,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02248948,TESTS,intervention:medium-chain-triglycerides,Medium Chain Triglycerides
NCT02248948,TESTS,intervention:omega-3-epa-dha,Omega-3 Fatty Acids
NCT02315651,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02315651,TESTS,intervention:coenzyme-q10,Coenzyme Q10
NCT02315651,TESTS,intervention:placebo-control,Placebo
NCT02333149,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02333149,TESTS,intervention:melatonin,Melatonin
NCT02333149,TESTS,intervention:placebo-control,Placebo
NCT02391428,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02391428,TESTS,intervention:blood-test,blood test
NCT02391428,TESTS,intervention:omega3-capsules,omega3 capsules
NCT02508922,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02508922,TESTS,intervention:placebo-control,Placebo
NCT02508922,TESTS,intervention:vitamin-d3,Vitamin D3
NCT02545634,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02545634,TESTS,intervention:l-helveticus-r0052-and-b-longum-r0175,L. helveticus R0052 and B. longum R0175
NCT02545634,TESTS,intervention:placebo-control,Placebo
NCT02614599,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02614599,TESTS,intervention:bp22042013,BP22042013
NCT02614599,TESTS,intervention:dietary-intervention,Low carbohydrate diet
NCT02654743,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02654743,TESTS,intervention:sulforaphane,Sulforaphane
NCT02674022,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02674022,TESTS,intervention:prenatal-supplement,Prenatal supplement
NCT02700685,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02700685,TESTS,intervention:methylphenidate,Methylphenidate
NCT02700685,TESTS,intervention:placebo-control,Placebo
NCT02700685,TESTS,intervention:pycnogenol,Pycnogenol
NCT02708901,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02708901,TESTS,intervention:placebo-control,Placebo
NCT02708901,TESTS,intervention:vivomixx,Vivomixx®
NCT02720900,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02720900,TESTS,intervention:b-gos,B-GOS
NCT02720900,TESTS,intervention:maltodextrin,Maltodextrin
NCT02879110,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02879110,TESTS,intervention:placebo-control,Placebo
NCT02879110,TESTS,intervention:sulforaphane,Sulforaphane
NCT02893852,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02893852,TESTS,intervention:standard-co-op-approach,standard CO-OP Approach
NCT02893852,TESTS,intervention:standard-co-op-approach-plus-coaching-parents,standard CO-OP Approach plus coaching parents
NCT02897570,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02897570,TESTS,intervention:eeg-post,EEG_post
NCT02897570,TESTS,intervention:eeg-pre,EEG_pre
NCT02897570,TESTS,intervention:glucose,Glucose
NCT02897570,TESTS,intervention:milk-apple-bread-w-cream,"Milk, apple & bread w/ cream"
NCT02897570,TESTS,intervention:milk-cereals,Milk & Cereals
NCT02897570,TESTS,intervention:n-acetylcysteine,"Milk, apple & snack"
NCT02908802,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02908802,TESTS,intervention:microbiome-intervention,Probiotic
NCT02908802,TESTS,intervention:placebo-control,Placebo
NCT02909959,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02909959,TESTS,intervention:placebo-control,Placebo
NCT02909959,TESTS,intervention:sulforaphane,Sulforaphane
NCT02911194,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02911194,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT02911194,TESTS,intervention:a1-containing-milk,a1 containing milk
NCT02911194,TESTS,intervention:a2-milk,a2 milk
NCT02986672,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT02986672,TESTS,intervention:calanus-oil,Calanus oil
NCT02986672,TESTS,intervention:medical-paraffin,Medical Paraffin
NCT03008889,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03008889,TESTS,intervention:n-acetylcysteine,N-acetylcysteine
NCT03008889,TESTS,intervention:placebo-control,Placebo
NCT03103750,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03103750,TESTS,intervention:calcitriol,calcitriol
NCT03103750,TESTS,intervention:dextro-amphetamine,Dextro Amphetamine
NCT03103750,TESTS,intervention:high-resolution-research-tomography,high-resolution research tomography
NCT03103750,TESTS,intervention:magnetic-resonance-imaging-mri,Magnetic Resonance Imaging (MRI)
NCT03103750,TESTS,intervention:phno,PHNO
NCT03103750,TESTS,intervention:placebo-control,Placebo oral capsule
NCT03115671,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03115671,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03115671,TESTS,intervention:vayarin,Vayarin
NCT03195465,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03195465,TESTS,intervention:dark-chocolate,Dark Chocolate
NCT03252522,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03252522,TESTS,intervention:broad-spectrum-micronutrients-a-36-ingredient-blend-of-vitamins-minerals-amino-acids-and-antioxidants,"Broad Spectrum Micronutrients; a 36-ingredient blend of vitamins, minerals, amino acids, and antioxidants"
NCT03252522,TESTS,intervention:placebo-control,Placebo
NCT03337035,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03337035,TESTS,intervention:intranasal-oxytocin,intranasal oxytocin
NCT03337035,TESTS,intervention:microbiome-intervention,oral probiotics
NCT03337035,TESTS,intervention:placebo-control,oral placebo
NCT03368690,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03368690,TESTS,intervention:oligopin,Oligopin®
NCT03368690,TESTS,intervention:placebo-control,Placebo
NCT03369431,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03369431,TESTS,intervention:placebo-control,Placebo
NCT03369431,TESTS,intervention:vivomixx,Vivomixx
NCT03439111,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03439111,TESTS,intervention:standardized-lycium-chinense-fruit-extract-lcf-capsules,Standardized Lycium chinense Fruit Extract (LCF) capsules
NCT03495375,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03495375,TESTS,intervention:microbiome-intervention,Treatment with a probiotic
NCT03495375,TESTS,intervention:placebo-control,Treatment with placebo
NCT03514784,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03514784,TESTS,intervention:bb-12-with-lgg-higher-dose,BB-12 with LGG (Higher Dose)
NCT03514784,TESTS,intervention:bb-12-with-lgg-lower-dose,BB-12 with LGG (Lower Dose)
NCT03514784,TESTS,intervention:placebo-control,Placebo
NCT03533556,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03533556,TESTS,intervention:caffeine,Caffeine
NCT03533556,TESTS,intervention:l-theanine,L-theanine
NCT03533556,TESTS,intervention:l-theanine-caffeine-combination,L-theanine-Caffeine Combination
NCT03533556,TESTS,intervention:placebo-control,Placebo
NCT03542643,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03542643,TESTS,intervention:n-3-polyunsaturated-fatty-acid,n-3 Polyunsaturated fatty acid
NCT03542643,TESTS,intervention:placebo-control,Placebo
NCT03550209,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03550209,TESTS,intervention:omega-3-epa-dha,LCPUFA Oil Supplement
NCT03550209,TESTS,intervention:placebo-control,Canola Oil Placebo
NCT03620097,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03620097,TESTS,intervention:eupoly-3-dha-infant,EuPoly-3 DHA Infant
NCT03620097,TESTS,intervention:placebo-control,Placebo
NCT03730194,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03730194,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03730194,TESTS,intervention:bedtime-bank,Bedtime Bank
NCT03730194,TESTS,intervention:melatonin,Melatonin
NCT03749824,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT03749824,TESTS,intervention:omega-3-epa-dha,Omega-3
NCT03749824,TESTS,intervention:placebo-control,Placebo Capsules
NCT03835117,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03835117,TESTS,intervention:dietary-intervention,Wide-spectrum nutritional supplement
NCT03835117,TESTS,intervention:placebo-control,Placebo
NCT03982290,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT03982290,TESTS,intervention:microbiome-intervention,"Probiotic, Lactobacillus plantarum PS128"
NCT03982290,TESTS,intervention:placebo-control,"Placebo, microcrystalline cellulose"
NCT04097457,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04097457,TESTS,intervention:exercise-intervention,"""Parent training for disruptive behaviors"" manual (Bearss, Johnson, Handen, Butter, Lecavalier, Smith & Scahill, 2018)"
NCT04144790,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT04144790,TESTS,intervention:ferrous-sulfate,ferrous sulfate
NCT04284059,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT04284059,TESTS,intervention:placebo-control,Placebos
NCT04284059,TESTS,intervention:vitamin-ad,vitamin AD
NCT04284059,TESTS,intervention:vitamin-d,vitamin D
NCT04293783,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04293783,TESTS,intervention:l-reuteri,L.Reuteri
NCT04293783,TESTS,intervention:placebo-control,Placebo
NCT04312152,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04312152,TESTS,intervention:multi-vitamin-b-complex,Multi-Vitamin B complex
NCT04312152,TESTS,intervention:q10-ubiquinol,Q10 Ubiquinol
NCT04312152,TESTS,intervention:vitamin-e,Vitamin E
NCT04312932,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04312932,TESTS,intervention:omega-3-epa-dha,LCPUFA Oil Supplement
NCT04312932,TESTS,intervention:placebo-control,Canola Oil Placebo
NCT04333394,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT04333394,TESTS,intervention:microbiome-intervention,Probiotic
NCT04333394,TESTS,intervention:placebo-control,Placebo
NCT04498078,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04498078,TESTS,intervention:creatine,Creatine
NCT04639141,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04639141,TESTS,intervention:gut-directed-hypnotherapy,Gut-directed Hypnotherapy
NCT04639141,TESTS,intervention:microbiome-intervention,Synbiotic
NCT04655326,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04655326,TESTS,intervention:flore,Flore
NCT04779632,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT04779632,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04779632,TESTS,intervention:comparator-safflower-oil,Comparator: Safflower Oil
NCT04779632,TESTS,intervention:experimental-fish-oil,Experimental: Fish Oil
NCT04805957,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04805957,TESTS,intervention:sulforaphane,Sulforaphane
NCT04845776,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04845776,TESTS,intervention:anrc-essentials-plus,ANRC Essentials Plus
NCT04878198,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04878198,TESTS,intervention:jogging-program,Jogging program
NCT04878198,TESTS,intervention:melatonin,Melatonin supplement intervention
NCT04939974,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04939974,TESTS,intervention:microbiome-intervention,probiotic
NCT04962334,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT04962334,TESTS,intervention:dietary-intervention,Nutritional supplementation standardized formula.
NCT04962334,TESTS,intervention:placebo-control,Placebo
NCT04983667,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT04983667,TESTS,intervention:zn-aa,Zn-AA
NCT05025553,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05025553,TESTS,intervention:gut-mobilization,Gut mobilization
NCT05031364,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05031364,TESTS,intervention:behavioral-interventions-for-anxiety-in-children-with-autism-biaca,Behavioral Interventions for Anxiety in Children with Autism (BIACA)
NCT05031364,TESTS,intervention:treatment-as-usual-supplemented-by-internet-based-self-instruction-meya,Treatment-as-Usual Supplemented by Internet-Based Self-Instruction (MEYA)
NCT05151601,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05151601,TESTS,intervention:experimental,Experimental
NCT05151601,TESTS,intervention:placebo-control,Placebo
NCT05155696,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT05155696,TESTS,intervention:microbiome-intervention,Experimental: Kefir probiotic drink (supplied by Nourish)
NCT05155696,TESTS,intervention:placebo-control,Placebo comparator
NCT05167110,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT05167110,TESTS,intervention:microbiome-intervention,Probiotic
NCT05167110,TESTS,intervention:placebo-control,Placebo
NCT05218577,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05218577,TESTS,intervention:high-selenium-functional-food,high selenium functional food
NCT05218577,TESTS,intervention:placebo-control,Placebo
NCT05218577,TESTS,intervention:selenium-supplement,selenium supplement
NCT05234593,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT05234593,TESTS,intervention:empowerplus-lightning-sticks,EmpowerPlus Lightning Sticks
NCT05268744,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05268744,TESTS,intervention:micronutrient,Micronutrient
NCT05307744,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05307744,TESTS,intervention:placebo-control,Placebo
NCT05307744,TESTS,intervention:ps128,PS128
NCT05476549,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT05476549,TESTS,intervention:lemon-verbena,Lemon verbena
NCT05476549,TESTS,intervention:placebo-control,Placebo
NCT05664789,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05664789,TESTS,intervention:n-acetylcysteine,N acetyl cysteine
NCT05664789,TESTS,intervention:placebo-control,Placebo
NCT05716906,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05716906,TESTS,intervention:melatonin,Melatonin
NCT05841927,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05841927,TESTS,intervention:omega-3-epa-dha,Docosahexaenoic acid supplement
NCT05841927,TESTS,intervention:placebo-control,ASD placebo
NCT05954052,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05954052,TESTS,intervention:glutathione,Glutathione
NCT05980520,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT05980520,TESTS,intervention:behavioral-rehabilitation-therapy,Behavioral rehabilitation therapy
NCT05980520,TESTS,intervention:corn-starch-white-sugar,Corn starch+white sugar
NCT05980520,TESTS,intervention:taurine-corn-starch-white-sugar,Taurine+corn starch+white sugar
NCT06005506,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06005506,TESTS,intervention:dietary-intervention,Dietary fiber
NCT06005506,TESTS,intervention:microbiome-intervention,Probiotic
NCT06005506,TESTS,intervention:prebiotic-fiber,Prebiotic fiber
NCT06126185,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06126185,TESTS,intervention:microbiome-intervention,12-week course of synbiotic
NCT06133231,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06133231,TESTS,intervention:multinutrients-a-36-ingredient-blend-of-vitamins-minerals-amino-acids-and-antioxidants,"Multinutrients; a 36-ingredient blend of vitamins, minerals, amino acids, and antioxidants"
NCT06187090,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06187090,TESTS,intervention:oral-ultramicronized-palmitoylethanolamide-um-pea-600-mg-per-day-in-tablet-form,Oral Ultramicronized-Palmitoylethanolamide (um-PEA; 600 mg per day) in tablet form
NCT06226584,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06226584,TESTS,intervention:microbiome-intervention,multiple-strain probiotics
NCT06234501,STUDIES_CONDITION,condition:autism,autism_dietary_supplement.json
NCT06234501,TESTS,intervention:placebo-control,Placebo
NCT06234501,TESTS,intervention:pyridoxal-5-phosphate-100-mg,Pyridoxal 5'-Phosphate (100 mg)
NCT06235177,STUDIES_CONDITION,condition:ADHD,adhd_dietary_supplement.json
NCT06235177,TESTS,intervention:applied-relaxation,Applied Relaxation
NCT06235177,TESTS,intervention:clinical-yoga,Clinical Yoga
NCT06235177,TESTS,intervention:comprehensive-theocentric-psychological-assessment,Comprehensive Theocentric Psychological Assessment
NCT06235177,TESTS,intervention:decompartmentalization-framework,Decompartmentalization Framework
NCT06235177,TESTS,intervention:dietary-intervention,Dietary Supplements
NCT06235177,TESTS,intervention:liquid-herbal-tinctures,Liquid Herbal TInctures
NCT06235177,TESTS,intervention:mental-imagery,Mental Imagery
NCT06235177,TESTS,intervention:pain-relaxation-techniques,Pain Relaxation Techniques
